ribosome	chain	protein_name	family
4V6W	Chain A	Elongation factor 2	NO_PERFECT_MATCH_CHECK
4V6W	Chain B	Guanine nucleotide-binding protein subunit beta-like protein	NO_PERFECT_MATCH_CHECK
4V6W	Chain C	40S ribosomal protein S20	RPS20
4V6W	Chain D	40S ribosomal protein S10a	RPS10
4V6W	Chain E	40S ribosomal protein S14	RPS14
4V6W	Chain F	40S ribosomal protein S23	RPS23
4V6W	Chain G	40S ribosomal protein S12	RPS12
4V6W	Chain H	40S ribosomal protein S18	RPS18
4V6W	Chain I	40S ribosomal protein S29	RPS29
4V6W	Chain J	40S ribosomal protein S13	RPS13
4V6W	Chain K	40S ribosomal protein S11	RPS11
4V6W	Chain L	40S ribosomal protein S17	RPS17
4V6W	Chain M	40S ribosomal protein S15, isoform A	RPS15
4V6W	Chain N	40S ribosomal protein S19a	RPS19
4V6W	Chain O	40S ribosomal protein S3a	RPS3A
4V6W	Chain P	40S ribosomal protein SA	RPSA
4V6W	Chain Q	40S ribosomal protein S21	RPS21
4V6W	Chain R	40S ribosomal protein S24	RPS24
4V6W	Chain S	40S ribosomal protein S25	RPS25
4V6W	Chain T	40S ribosomal protein S26	RPS26
4V6W	Chain U	40S ribosomal protein S27	RPS27
4V6W	Chain V	40S ribosomal protein S28	RPS28
4V6W	Chain W	40S ribosomal protein S3	RPS3
4V6W	Chain X	40S ribosomal protein S30, isoform A	RPS30
4V6W	Chain Y	40S ribosomal protein S27a	RPS27A
4V6W	Chain Z	40S ribosomal protein S9	RPS9
4V6W	Chain AA	40S ribosomal protein S4	RPS4
4V6W	Chain BA	40S ribosomal protein S2	RPS2
4V6W	Chain CA	40S ribosomal protein S6	RPS6
4V6W	Chain DA	40S ribosomal protein S5a	RPS5
4V6W	Chain EA	40S ribosomal protein S7	RPS7
4V6W	Chain FA	40S ribosomal protein S15Aa	RPS15A
4V6W	Chain GA	40S ribosomal protein S8	RPS8
4V6W	Chain HA	40S ribosomal protein S16	RPS16
4V6W	Chain IA	Vig2, isoform B	NO_PERFECT_MATCH_CHECK
4V6W	Chain JA	18S ribosomal RNA	NO_PERFECT_MATCH_CHECK
4V6W	Chain KA	E-tRNA	NO_PERFECT_MATCH_CHECK
4V6W	Chain LA	60S ribosomal protein L10a-2	RPL10A
4V6W	Chain MA	60S acidic ribosomal protein P0	RPLP0
4V6W	Chain NA	60S ribosomal protein L12	RPL12
4V6W	Chain OA	60S ribosomal protein L13a	RPL13A
4V6W	Chain PA	60S ribosomal protein L13	RPL13
4V6W	Chain QA	60S ribosomal protein L23	RPL23
4V6W	Chain RA	60S ribosomal protein L14	RPL14
4V6W	Chain SA	60S ribosomal protein L27a	RPL27A
4V6W	Chain TA	60S ribosomal protein L15	RPL15
4V6W	Chain UA	60S ribosomal protein L10	RPL10
4V6W	Chain VA	60S ribosomal protein L5	RPL5
4V6W	Chain WA	60S ribosomal protein L18	RPL18
4V6W	Chain XA	60S ribosomal protein L19	RPL19
4V6W	Chain YA	60S ribosomal protein L8	RPL8
4V6W	Chain ZA	60S ribosomal protein L18a	RPL18A
4V6W	Chain AB	60S ribosomal protein L21	RPL21
4V6W	Chain BB	60S ribosomal protein L17	RPL17
4V6W	Chain CB	60S ribosomal protein L22	RPL22
4V6W	Chain DB	60S ribosomal protein L23A	RPL23A
4V6W	Chain EB	60S ribosomal protein L26	RPL26
4V6W	Chain FB	60S ribosomal protein L24	RPL24
4V6W	Chain GB	60S ribosomal protein L27	RPL27
4V6W	Chain HB	60S ribosomal protein L28	RPL28
4V6W	Chain IB	60S ribosomal protein L35	RPL35
4V6W	Chain JB	60S ribosomal protein L29	RPL29
4V6W	Chain KB	60S ribosomal protein L3	RPL3
4V6W	Chain LB	60S ribosomal protein L7	RPL7
4V6W	Chain MB	60S ribosomal protein L30	RPL30
4V6W	Chain NB	60S ribosomal protein L31	RPL31
4V6W	Chain OB	60S ribosomal protein L32	RPL32
4V6W	Chain PB	60S ribosomal protein L35A	RPL35A
4V6W	Chain QB	60S ribosomal protein L34a	RPL34
4V6W	Chain RB	60S ribosomal protein L36	RPL36
4V6W	Chain SB	60S ribosomal protein L37-A	RPL37
4V6W	Chain TB	60S ribosomal protein L38	RPL38
4V6W	Chain UB	60S ribosomal protein L39	RPL39
4V6W	Chain VB	60S ribosomal protein L4	RPL4
4V6W	Chain WB	60S ribosomal protein L40	RPL40
4V6W	Chain XB	60S ribosomal protein L41	RPL41
4V6W	Chain YB	60S ribosomal protein L37a	RPL37A
4V6W	Chain ZB	60S ribosomal protein L36A	RPL36A
4V6W	Chain AC	60S ribosomal protein L11	RPL11
4V6W	Chain BC	60S ribosomal protein L9	RPL9
4V6W	Chain CC	60S ribosomal protein L6, isoform A	RPL6
4V6W	Chain DC	60S ribosomal protein L7a	RPL7A
4V6W	Chain EC	28S ribosomal RNA	NO_PERFECT_MATCH_CHECK
4V6W	Chain FC	2S ribosomal RNA	NO_PERFECT_MATCH_CHECK
4V6W	Chain GC	5S ribosomal RNA	NO_PERFECT_MATCH_CHECK
4V6W	Chain HC	5.8S ribosomal RNA	NO_PERFECT_MATCH_CHECK
6Z6M	Chain A	28S rRNA	NO_PERFECT_MATCH_CHECK
6Z6M	Chain J	60S ribosomal protein L7a	RPL7A
6Z6M	Chain K	60S ribosomal protein L9	RPL9
6Z6M	Chain L	60S ribosomal protein L10-like	RPL10
6Z6M	Chain M	60S ribosomal protein L11	RPL11
6Z6M	Chain N	60S ribosomal protein L13	RPL13
6Z6M	Chain O	60S ribosomal protein L14	RPL14
6Z6M	Chain P	60S ribosomal protein L15	RPL15
6Z6M	Chain Q	60S ribosomal protein L13a	RPL13A
6Z6M	Chain R	60S ribosomal protein L17	RPL17
6Z6M	Chain S	60S ribosomal protein L18	RPL18
6Z6M	Chain B	5S rRNA	NO_PERFECT_MATCH_CHECK
6Z6M	Chain T	60S ribosomal protein L19	RPL19
6Z6M	Chain U	60S ribosomal protein L18a	RPL18A
6Z6M	Chain V	60S ribosomal protein L21	RPL21
6Z6M	Chain W	60S ribosomal protein L22	RPL22
6Z6M	Chain X	60S ribosomal protein L23	RPL23
6Z6M	Chain Y	60S ribosomal protein L24	RPL24
6Z6M	Chain Z	60S ribosomal protein L23a	RPL23A
6Z6M	Chain AA	60S ribosomal protein L26	RPL26
6Z6M	Chain BA	60S ribosomal protein L27	RPL27
6Z6M	Chain CA	60S ribosomal protein L27a	RPL27A
6Z6M	Chain C	5.8S rRNA	NO_PERFECT_MATCH_CHECK
6Z6M	Chain DA	60S ribosomal protein L29	RPL29
6Z6M	Chain EA	60S ribosomal protein L30	RPL30
6Z6M	Chain FA	60S ribosomal protein L31	RPL31
6Z6M	Chain GA	60S ribosomal protein L32	RPL32
6Z6M	Chain HA	60S ribosomal protein L35a	RPL35A
6Z6M	Chain IA	60S ribosomal protein L34	RPL34
6Z6M	Chain JA	60S ribosomal protein L35	RPL35
6Z6M	Chain KA	60S ribosomal protein L36	RPL36
6Z6M	Chain LA	60S ribosomal protein L37	RPL37
6Z6M	Chain MA	60S ribosomal protein L38	RPL38
6Z6M	Chain D	60S ribosomal protein L8	RPL8
6Z6M	Chain NA	60S ribosomal protein L39	RPL39
6Z6M	Chain OA	Ubiquitin-60S ribosomal protein L40	RPL40
6Z6M	Chain PA	60S ribosomal protein L41	RPL41
6Z6M	Chain QA	60S ribosomal protein L36a	RPL36A
6Z6M	Chain RA	60S ribosomal protein L37a	RPL37A
6Z6M	Chain SA	60S ribosomal protein L28	RPL28
6Z6M	Chain TA	60S ribosomal protein L10a	RPL10A
6Z6M	Chain UA	18S rRNA	NO_PERFECT_MATCH_CHECK
6Z6M	Chain VA	40S ribosomal protein SA	RPSA
6Z6M	Chain WA	40S ribosomal protein S3a	RPS3A
6Z6M	Chain E	60S ribosomal protein L3	RPL3
6Z6M	Chain XA	40S ribosomal protein S3	RPS3
6Z6M	Chain YA	40S ribosomal protein S4, X isoform	RPS4
6Z6M	Chain ZA	40S ribosomal protein S5	RPS5
6Z6M	Chain AB	40S ribosomal protein S7	RPS7
6Z6M	Chain BB	40S ribosomal protein S8	RPS8
6Z6M	Chain CB	40S ribosomal protein S10	RPS10
6Z6M	Chain DB	40S ribosomal protein S11	RPS11
6Z6M	Chain EB	40S ribosomal protein S15	RPS15
6Z6M	Chain FB	40S ribosomal protein S16	RPS16
6Z6M	Chain GB	40S ribosomal protein S17	RPS17
6Z6M	Chain F	60S ribosomal protein L4	RPL4
6Z6M	Chain HB	40S ribosomal protein S18	RPS18
6Z6M	Chain IB	40S ribosomal protein S19	RPS19
6Z6M	Chain JB	40S ribosomal protein S20	RPS20
6Z6M	Chain KB	40S ribosomal protein S21	RPS21
6Z6M	Chain LB	40S ribosomal protein S23	RPS23
6Z6M	Chain MB	40S ribosomal protein S26	RPS26
6Z6M	Chain NB	40S ribosomal protein S28	RPS28
6Z6M	Chain OB	40S ribosomal protein S29	RPS29
6Z6M	Chain PB	Receptor of activated protein C kinase 1	NO_PERFECT_MATCH_CHECK
6Z6M	Chain QB	40S ribosomal protein S2	RPS2
6Z6M	Chain G	60S ribosomal protein L5	RPL5
6Z6M	Chain RB	40S ribosomal protein S6	RPS6
6Z6M	Chain SB	40S ribosomal protein S9	RPS9
6Z6M	Chain TB	40S ribosomal protein S12	RPS12
6Z6M	Chain UB	40S ribosomal protein S13	RPS13
6Z6M	Chain VB	40S ribosomal protein S14	RPS14
6Z6M	Chain WB	40S ribosomal protein S15a	RPS15A
6Z6M	Chain XB	40S ribosomal protein S24	RPS24
6Z6M	Chain YB	40S ribosomal protein S25	RPS25
6Z6M	Chain ZB	40S ribosomal protein S27	RPS27
6Z6M	Chain AC	40S ribosomal protein S30	NO_PERFECT_MATCH_CHECK
6Z6M	Chain H	60S ribosomal protein L6	RPL6
6Z6M	Chain BC	Ubiquitin-40S ribosomal protein S27a	RPL40
6Z6M	Chain CC	Proliferation-associated protein 2G4	NO_PERFECT_MATCH_CHECK
6Z6M	Chain DC	Elongation factor 2	NO_PERFECT_MATCH_CHECK
6Z6M	Chain EC	tRNA	NO_PERFECT_MATCH_CHECK
6Z6M	Chain FC	Plasminogen activator inhibitor 1 RNA-binding protein	NO_PERFECT_MATCH_CHECK
6Z6M	Chain I	60S ribosomal protein L7	RPL7
4V7E	Chain A	18S ribosomal RNA	NO_PERFECT_MATCH_CHECK
4V7E	Chain J	RACK1	NO_PERFECT_MATCH_CHECK
4V7E	Chain K	40S ribosomal protein S3	RPS3
4V7E	Chain L	40S ribosomal protein S4E	RPS4
4V7E	Chain M	40S ribosomal protein S7	RPS5
4V7E	Chain N	40S ribosomal protein S9	RPS16
4V7E	Chain O	40S ribosomal protein S10	RPS20
4V7E	Chain P	40S ribosomal protein S11	RPS14
4V7E	Chain Q	40S ribosomal protein S13	RPS18
4V7E	Chain R	40S ribosomal protein S15	NO_PERFECT_MATCH_CHECK
4V7E	Chain S	40S ribosomal protein S17	RPS11
4V7E	Chain B	P-site tRNA	NO_PERFECT_MATCH_CHECK
4V7E	Chain T	40S ribosomal protein S19E	RPS19
4V7E	Chain U	40S ribosomal protein S19	NO_PERFECT_MATCH_CHECK
4V7E	Chain V	40S ribosomal protein S25E	NO_PERFECT_MATCH_CHECK
4V7E	Chain W	40S ribosomal protein S28E	NO_PERFECT_MATCH_CHECK
4V7E	Chain X	40S ribosomal protein S8	RPS15A
4V7E	Chain Y	40S ribosomal protein S14	RPS29
4V7E	Chain Z	40S ribosomal protein S27E	RPS27
4V7E	Chain AA	40S ribosomal protein S30E	NO_PERFECT_MATCH_CHECK
4V7E	Chain BA	40S ribosomal protein S2	RPSA
4V7E	Chain CA	40S ribosomal protein S17E	NO_PERFECT_MATCH_CHECK
4V7E	Chain C	5'-R(*AP*AP*AP*AP*GP*AP*CP*UP*UP*CP*A)-3'	NO_PERFECT_MATCH_CHECK
4V7E	Chain DA	40S ribosomal protein S1E	RPS3A
4V7E	Chain EA	40S ribosomal protein S21E	RPS21
4V7E	Chain FA	40S ribosomal protein S26E	RPS26
4V7E	Chain GA	40S ribosomal protein S4	RPS9
4V7E	Chain HA	40S ribosomal protein S5	RPS2
4V7E	Chain IA	40S ribosomal protein S6	RPS6
4V7E	Chain JA	40S ribosomal protein S7E	RPS7
4V7E	Chain KA	60S ribosomal protein L8E	RPL7A
4V7E	Chain LA	60S ribosomal protein L21E	RPL21
4V7E	Chain MA	60S ribosomal protein L27E	RPL27
4V7E	Chain D	40S ribosomal protein S24E	RPS24
4V7E	Chain NA	60S ribosomal protein L1	RPL10A
4V7E	Chain OA	60S ribosomal protein L2	RPL8
4V7E	Chain PA	60S ribosomal protein L5	RPL11
4V7E	Chain QA	60S ribosomal protein L6	RPL9
4V7E	Chain RA	60S ribosomal protein L14	RPL23
4V7E	Chain SA	60S ribosomal protein L15E	RPL15
4V7E	Chain TA	60S ribosomal protein L15	RPL27A
4V7E	Chain UA	60S ribosomal protein L18E	RPL18
4V7E	Chain VA	60S ribosomal protein L18	RPL5
4V7E	Chain WA	60S ribosomal protein L19E	RPL19
4V7E	Chain E	40S ribosomal protein S8E	RPS8
4V7E	Chain XA	60S ribosomal protein L22	RPL17
4V7E	Chain YA	60S ribosomal protein L23	NO_PERFECT_MATCH_CHECK
4V7E	Chain ZA	60S ribosomal protein L24E	RPL24
4V7E	Chain AB	60S ribosomal protein L24	RPL26
4V7E	Chain BB	60S ribosomal protein L28E	RPL28
4V7E	Chain CB	60S ribosomal protein L30E	RPL30
4V7E	Chain DB	60S ribosomal protein L31E	RPL31
4V7E	Chain EB	60S ribosomal protein L32E	RPL32
4V7E	Chain FB	60S ribosomal protein L37E	RPL37
4V7E	Chain GB	60S ribosomal protein L39E	NO_PERFECT_MATCH_CHECK
4V7E	Chain F	40S ribosomal protein S10E	RPS10
4V7E	Chain HB	60S ribosomal protein L44E	RPL36A
4V7E	Chain IB	60S ribosomal protein L14E	RPL14
4V7E	Chain JB	60S ribosomal protein L20	RPL18A
4V7E	Chain KB	60S ribosomal protein L22E	RPL22
4V7E	Chain LB	60S ribosomal protein L36E	NO_PERFECT_MATCH_CHECK
4V7E	Chain MB	60S ribosomal protein L11	RPL12
4V7E	Chains NB	60S ribosomal protein P1	RPLP1
4V7E	Chains PB	Acidic ribosomal protein P2	RPLP2
4V7E	Chain RB	60S ribosomal protein L29	NO_PERFECT_MATCH_CHECK
4V7E	Chain SB	60S ribosomal protein L30	RPL7
4V7E	Chain G	40S ribosomal protein S12E	RPS12
4V7E	Chain TB	60S acidic ribosomal protein P0	RPLP0
4V7E	Chain UB	60S ribosomal protein L3	RPL3
4V7E	Chain VB	60S ribosomal protein L4	RPL4
4V7E	Chain WB	60S ribosomal protein L13	RPL13A
4V7E	Chain XB	60S ribosomal protein L43E	RPL37A
4V7E	Chain YB	60S ribosomal protein L16	RPL10
4V7E	Chain ZB	60S ribosomal protein L41E	RPL41
4V7E	Chain AC	60S ribosomal protein L40E	RPL40
4V7E	Chain BC	60S ribosomal protein L13E	RPL13
4V7E	Chain CC	60S ribosomal protein L6E	NO_PERFECT_MATCH_CHECK
4V7E	Chain H	40S ribosomal protein S31e	RPS27A
4V7E	Chain DC	60S ribosomal protein L33E	RPL35A
4V7E	Chain EC	60S ribosomal protein L38E	RPL38
4V7E	Chain FC	60S ribosomal protein L29E	NO_PERFECT_MATCH_CHECK
4V7E	Chain GC	60S ribosomal protein L34E	RPL34
4V7E	Chain HC	60S ribosomal RNA	NO_PERFECT_MATCH_CHECK
4V7E	Chain IC	5.8S ribosomal RNA	NO_PERFECT_MATCH_CHECK
4V7E	Chain JC	5S ribosomal RNA	NO_PERFECT_MATCH_CHECK
4V7E	Chain I	40S ribosomal protein S12	RPS23
8JDK	Chain A	mRNA	NO_PERFECT_MATCH_CHECK
8JDK	Chains B, C	tRNA (Asp)	NO_PERFECT_MATCH_CHECK
8JDK	Chain D	28S ribosomal RNA	NO_PERFECT_MATCH_CHECK
8JDK	Chain F	5.8S ribosomal RNA	NO_PERFECT_MATCH_CHECK
8JDK	Chain G	60S ribosomal protein L8	RPL8
8JDK	Chain H	60S ribosomal protein L3	RPL3
8JDK	Chain I	60S ribosomal protein L4	RPL4
8JDK	Chain J	60S ribosomal protein L5	RPL5
8JDK	Chain L	60S ribosomal protein L7	RPL7
8JDK	Chain M	60S ribosomal protein L7a	RPL7A
8JDK	Chain N	60S ribosomal protein L9	RPL9
8JDK	Chain O	60S ribosomal protein L10-like	RPL10
8JDK	Chain P	60S ribosomal protein L11	RPL11
8JDK	Chain Q	60S ribosomal protein L13	RPL13
8JDK	Chain S	60S ribosomal protein L15	RPL15
8JDK	Chain T	60S ribosomal protein L13a	RPL13A
8JDK	Chain U	60S ribosomal protein L17	RPL17
8JDK	Chain V	60S ribosomal protein L18	RPL18
8JDK	Chain W	60S ribosomal protein L19	RPL19
8JDK	Chain X	60S ribosomal protein L18a	RPL18A
8JDK	Chain Y	60S ribosomal protein L21	RPL21
8JDK	Chain Z	60S ribosomal protein L22	RPL22
8JDK	Chain AA	60S ribosomal protein L23	RPL23
8JDK	Chain BA	60S ribosomal protein L24	RPL24
8JDK	Chain CA	60S ribosomal protein L23a	RPL23A
8JDK	Chain DA	60S ribosomal protein L26	RPL26
8JDK	Chain EA	60S ribosomal protein L27	RPL27
8JDK	Chain FA	60S ribosomal protein L27a	RPL27A
8JDK	Chain GA	60S ribosomal protein L29	RPL29
8JDK	Chain HA	60S ribosomal protein L30	RPL30
8JDK	Chain IA	60S ribosomal protein L31	RPL31
8JDK	Chain JA	60S ribosomal protein L32	RPL32
8JDK	Chain KA	60S ribosomal protein L35a	RPL35A
8JDK	Chain LA	60S ribosomal protein L34	RPL34
8JDK	Chain MA	60S ribosomal protein L35	RPL35
8JDK	Chain NA	60S ribosomal protein L36	RPL36
8JDK	Chain OA	60S ribosomal protein L37	RPL37
8JDK	Chain PA	60S ribosomal protein L38	RPL38
8JDK	Chain QA	60S ribosomal protein L39	RPL39
8JDK	Chain RA	Ubiquitin-60S ribosomal protein L40	RPL40
8JDK	Chain SA	60S ribosomal protein L41	RPL41
8JDK	Chain UA	60S ribosomal protein L37a	RPL37A
8JDK	Chain VA	60S ribosomal protein L28	RPL28
8JDK	Chain WA	18S ribosomal RNA	NO_PERFECT_MATCH_CHECK
8JDK	Chain XA	40S ribosomal protein SA	RPSA
8JDK	Chain ZA	40S ribosomal protein S2	RPS2
8JDK	Chain AB	40S ribosomal protein S3	RPS3
8JDK	Chain CB	40S ribosomal protein S5	RPS5
8JDK	Chain DB	40S ribosomal protein S6	RPS6
8JDK	Chain EB	40S ribosomal protein S7	RPS7
8JDK	Chain FB	40S ribosomal protein S8	RPS8
8JDK	Chain HB	40S ribosomal protein S10	RPS10
8JDK	Chain IB	40S ribosomal protein S11	RPS11
8JDK	Chain JB	40S ribosomal protein S13	RPS13
8JDK	Chain KB	40S ribosomal protein S14	RPS14
8JDK	Chain LB	40S ribosomal protein S15	RPS15
8JDK	Chain MB	40S ribosomal protein S16	RPS16
8JDK	Chain NB	40S ribosomal protein S17	RPS17
8JDK	Chain OB	40S ribosomal protein S18	RPS18
8JDK	Chain PB	40S ribosomal protein S19	RPS19
8JDK	Chain QB	40S ribosomal protein S20	RPS20
8JDK	Chain RB	40S ribosomal protein S21	RPS21
8JDK	Chain SB	40S ribosomal protein S15a	RPS15A
8JDK	Chain TB	40S ribosomal protein S23	RPS23
8JDK	Chain UB	40S ribosomal protein S24	RPS24
8JDK	Chain VB	40S ribosomal protein S25	RPS25
8JDK	Chain WB	40S ribosomal protein S26	RPS26
8JDK	Chain YB	40S ribosomal protein S28	RPS28
8JDK	Chain ZB	40S ribosomal protein S29	RPS29
8JDK	Chain AC	40S ribosomal protein S30	NO_PERFECT_MATCH_CHECK
8JDK	Chain BC	Receptor of activated protein C kinase 1	NO_PERFECT_MATCH_CHECK
8JDK	Chain K	60S ribosomal protein L6	RPL6
8JDK	Chain R	60S ribosomal protein L14	RPL14
8JDK	Chain E	5S ribosomal RNA	NO_PERFECT_MATCH_CHECK
8JDK	Chain TA	60S ribosomal protein L36a	RPL36A
8JDK	Chain YA	40S ribosomal protein S3a	RPS3A
8JDK	Chain BB	40S ribosomal protein S4, X isoform	RPS4
8JDK	Chain GB	40S ribosomal protein S9	RPS9
8JDK	Chain XB	40S ribosomal protein S27	RPS27
6Y2L	Chain A	mRNA	NO_PERFECT_MATCH_CHECK
6Y2L	Chain B	tRNA	NO_PERFECT_MATCH_CHECK
6Y2L	Chain C	Nascent polypeptide	NO_PERFECT_MATCH_CHECK
6Y2L	Chain D	28S ribosomal RNA	NO_PERFECT_MATCH_CHECK
6Y2L	Chain E	5S ribosomal RNA	NO_PERFECT_MATCH_CHECK
6Y2L	Chain F	5.8S ribosomal RNA	NO_PERFECT_MATCH_CHECK
6Y2L	Chain G	60S ribosomal protein L8	RPL8
6Y2L	Chain H	60S ribosomal protein L3	RPL3
6Y2L	Chain I	60S ribosomal protein L4	RPL4
6Y2L	Chain J	60S ribosomal protein L5	RPL5
6Y2L	Chain K	60S ribosomal protein L6	RPL6
6Y2L	Chain L	60S ribosomal protein L7	RPL7
6Y2L	Chain M	60S ribosomal protein L7a	RPL7A
6Y2L	Chain N	60S ribosomal protein L9	RPL9
6Y2L	Chain O	60S ribosomal protein L10-like	RPL10
6Y2L	Chain P	60S ribosomal protein L11	RPL11
6Y2L	Chain Q	60S ribosomal protein L13	RPL13
6Y2L	Chain R	60S ribosomal protein L14	RPL14
6Y2L	Chain S	60S ribosomal protein L15	RPL15
6Y2L	Chain T	60S ribosomal protein L13a	RPL13A
6Y2L	Chain U	60S ribosomal protein L17	RPL17
6Y2L	Chain V	60S ribosomal protein L18	RPL18
6Y2L	Chain W	60S ribosomal protein L19	RPL19
6Y2L	Chain X	60S ribosomal protein L18a	RPL18A
6Y2L	Chain Y	60S ribosomal protein L21	RPL21
6Y2L	Chain Z	60S ribosomal protein L22	RPL22
6Y2L	Chain AA	60S ribosomal protein L23	RPL23
6Y2L	Chain BA	60S ribosomal protein L24	RPL24
6Y2L	Chain CA	60S ribosomal protein L23a	RPL23A
6Y2L	Chain DA	60S ribosomal protein L26	RPL26
6Y2L	Chain EA	60S ribosomal protein L27	RPL27
6Y2L	Chain FA	60S ribosomal protein L27a	RPL27A
6Y2L	Chain GA	60S ribosomal protein L29	RPL29
6Y2L	Chain HA	60S ribosomal protein L30	RPL30
6Y2L	Chain IA	60S ribosomal protein L31	RPL31
6Y2L	Chain JA	60S ribosomal protein L32	RPL32
6Y2L	Chain KA	60S ribosomal protein L35a	RPL35A
6Y2L	Chain LA	60S ribosomal protein L34	RPL34
6Y2L	Chain MA	60S ribosomal protein L35	RPL35
6Y2L	Chain NA	60S ribosomal protein L36	RPL36
6Y2L	Chain OA	60S ribosomal protein L37	RPL37
6Y2L	Chain PA	60S ribosomal protein L38	RPL38
6Y2L	Chain QA	60S ribosomal protein L39	RPL39
6Y2L	Chain RA	Ubiquitin-60S ribosomal protein L40	RPL40
6Y2L	Chain SA	60S ribosomal protein L41	RPL41
6Y2L	Chain TA	60S ribosomal protein L36a	RPL36A
6Y2L	Chain UA	60S ribosomal protein L37a	RPL37A
6Y2L	Chain VA	60S ribosomal protein L28	RPL28
6Y2L	Chain WA	18S ribosomal RNA	NO_PERFECT_MATCH_CHECK
6Y2L	Chain XA	40S ribosomal protein SA	RPSA
6Y2L	Chain YA	40S ribosomal protein S3a	RPS3A
6Y2L	Chain ZA	40S ribosomal protein S2	RPS2
6Y2L	Chain AB	40S ribosomal protein S3	RPS3
6Y2L	Chain BB	40S ribosomal protein S4, X isoform	RPS4
6Y2L	Chain CB	40S ribosomal protein S5	RPS5
6Y2L	Chain DB	40S ribosomal protein S6	RPS6
6Y2L	Chain EB	40S ribosomal protein S7	RPS7
6Y2L	Chain FB	40S ribosomal protein S8	RPS8
6Y2L	Chain GB	40S ribosomal protein S9	RPS9
6Y2L	Chain HB	40S ribosomal protein S10	RPS10
